player_age,player_gender,player_playgames,player_playfrequency,game_variant,score,time,distance_to_enemies_euclidean,distance_to_pellets_euclidean,tile_visits,leftpressed_count,uppressed_count,spacepressed_count,rightpressed_count,downpressed_count,challenge
26.0,1.0,1.0,5.0,1.0,21.0,0.0,0.0,27.0,18.0,21.0,0.0,0.0,27.0,18.0,0
26.0,1.0,1.0,5.0,1.0,26.0,1.0,0.0,21.0,16.0,26.0,1.0,0.0,21.0,16.0,1
26.0,1.0,1.0,5.0,8.0,17.0,6.0,5.0,17.0,14.0,17.0,6.0,5.0,17.0,14.0,0
26.0,1.0,1.0,5.0,8.0,26.0,2.0,0.0,25.0,15.0,26.0,2.0,0.0,25.0,15.0,1
26.0,1.0,1.0,5.0,2.0,19.0,1.0,0.0,26.0,17.0,19.0,1.0,0.0,26.0,17.0,1
26.0,1.0,1.0,5.0,2.0,21.0,1.0,0.0,21.0,10.0,21.0,1.0,0.0,21.0,10.0,0
26.0,1.0,1.0,5.0,4.0,23.0,1.0,0.0,36.0,12.0,23.0,1.0,0.0,36.0,12.0,1
26.0,1.0,1.0,5.0,4.0,26.0,1.0,0.0,28.0,12.0,26.0,1.0,0.0,28.0,12.0,0
26.0,1.0,1.0,4.0,1.0,38.0,1.0,0.0,30.0,3.0,38.0,1.0,0.0,30.0,3.0,0
26.0,1.0,1.0,4.0,1.0,28.0,0.0,0.0,29.0,10.0,28.0,0.0,0.0,29.0,10.0,1
26.0,1.0,1.0,4.0,7.0,19.0,2.0,0.0,19.0,13.0,19.0,2.0,0.0,19.0,13.0,0
26.0,1.0,1.0,4.0,7.0,27.0,2.0,0.0,29.0,12.0,27.0,2.0,0.0,29.0,12.0,1
26.0,1.0,1.0,4.0,3.0,27.0,2.0,0.0,28.0,12.0,27.0,2.0,0.0,28.0,12.0,1
26.0,1.0,1.0,4.0,3.0,27.0,0.0,0.0,31.0,6.0,27.0,0.0,0.0,31.0,6.0,0
26.0,1.0,1.0,4.0,8.0,22.0,1.0,0.0,26.0,16.0,22.0,1.0,0.0,26.0,16.0,0
26.0,1.0,1.0,4.0,8.0,24.0,2.0,0.0,29.0,13.0,24.0,2.0,0.0,29.0,13.0,1
43.0,1.0,1.0,2.0,1.0,22.0,0.0,0.0,37.0,3.0,22.0,0.0,0.0,37.0,3.0,1
43.0,1.0,1.0,2.0,1.0,27.0,0.0,0.0,22.0,10.0,27.0,0.0,0.0,22.0,10.0,1
43.0,1.0,1.0,2.0,6.0,33.0,12.0,0.0,12.0,12.0,33.0,12.0,0.0,12.0,12.0,1
43.0,1.0,1.0,2.0,6.0,24.0,1.0,1.0,26.0,11.0,24.0,1.0,1.0,26.0,11.0,0
43.0,1.0,1.0,2.0,4.0,17.0,0.0,1.0,30.0,11.0,17.0,0.0,1.0,30.0,11.0,1
43.0,1.0,1.0,2.0,4.0,32.0,0.0,0.0,32.0,4.0,32.0,0.0,0.0,32.0,4.0,1
43.0,1.0,1.0,2.0,5.0,20.0,4.0,0.0,21.0,9.0,20.0,4.0,0.0,21.0,9.0,1
43.0,1.0,1.0,2.0,5.0,25.0,0.0,0.0,33.0,12.0,25.0,0.0,0.0,33.0,12.0,0
21.0,0.0,1.0,5.0,1.0,27.0,0.0,0.0,33.0,1.0,27.0,0.0,0.0,33.0,1.0,0
21.0,0.0,1.0,5.0,1.0,26.0,3.0,0.0,26.0,8.0,26.0,3.0,0.0,26.0,8.0,1
21.0,0.0,1.0,5.0,6.0,26.0,4.0,0.0,28.0,9.0,26.0,4.0,0.0,28.0,9.0,0
21.0,0.0,1.0,5.0,6.0,27.0,0.0,0.0,27.0,8.0,27.0,0.0,0.0,27.0,8.0,1
21.0,0.0,1.0,5.0,5.0,25.0,0.0,0.0,33.0,5.0,25.0,0.0,0.0,33.0,5.0,0
21.0,0.0,1.0,5.0,5.0,37.0,0.0,0.0,33.0,5.0,37.0,0.0,0.0,33.0,5.0,1
21.0,0.0,1.0,5.0,8.0,33.0,0.0,0.0,17.0,11.0,33.0,0.0,0.0,17.0,11.0,0
21.0,0.0,1.0,5.0,8.0,34.0,0.0,0.0,30.0,7.0,34.0,0.0,0.0,30.0,7.0,1
28.0,1.0,1.0,3.0,1.0,25.0,1.0,0.0,28.0,13.0,25.0,1.0,0.0,28.0,13.0,0
28.0,1.0,1.0,3.0,1.0,24.0,6.0,0.0,30.0,8.0,24.0,6.0,0.0,30.0,8.0,1
28.0,1.0,1.0,3.0,7.0,33.0,1.0,0.0,33.0,7.0,33.0,1.0,0.0,33.0,7.0,0
28.0,1.0,1.0,3.0,7.0,18.0,2.0,0.0,26.0,14.0,18.0,2.0,0.0,26.0,14.0,1
28.0,1.0,1.0,3.0,6.0,28.0,0.0,0.0,19.0,12.0,28.0,0.0,0.0,19.0,12.0,0
28.0,1.0,1.0,3.0,6.0,32.0,1.0,0.0,23.0,16.0,32.0,1.0,0.0,23.0,16.0,1
28.0,1.0,1.0,3.0,12.0,24.0,0.0,0.0,17.0,12.0,24.0,0.0,0.0,17.0,12.0,0
28.0,1.0,1.0,3.0,12.0,28.0,0.0,0.0,31.0,9.0,28.0,0.0,0.0,31.0,9.0,1
23.0,1.0,1.0,7.0,1.0,21.0,0.0,0.0,26.0,20.0,21.0,0.0,0.0,26.0,20.0,1
23.0,1.0,1.0,7.0,1.0,37.0,4.0,0.0,23.0,11.0,37.0,4.0,0.0,23.0,11.0,0
23.0,1.0,1.0,7.0,6.0,18.0,3.0,8.0,17.0,5.0,18.0,3.0,8.0,17.0,5.0,0
23.0,1.0,1.0,7.0,6.0,29.0,0.0,1.0,22.0,17.0,29.0,0.0,1.0,22.0,17.0,1
23.0,1.0,1.0,7.0,7.0,24.0,0.0,5.0,28.0,13.0,24.0,0.0,5.0,28.0,13.0,0
23.0,1.0,1.0,7.0,7.0,27.0,0.0,0.0,36.0,11.0,27.0,0.0,0.0,36.0,11.0,1
23.0,1.0,1.0,7.0,5.0,32.0,0.0,0.0,27.0,13.0,32.0,0.0,0.0,27.0,13.0,0
23.0,1.0,1.0,7.0,5.0,35.0,0.0,0.0,35.0,6.0,35.0,0.0,0.0,35.0,6.0,1
24.0,1.0,1.0,5.0,1.0,27.0,1.0,0.0,30.0,9.0,27.0,1.0,0.0,30.0,9.0,1
24.0,1.0,1.0,5.0,1.0,30.0,9.0,0.0,24.0,6.0,30.0,9.0,0.0,24.0,6.0,0
24.0,1.0,1.0,5.0,5.0,24.0,2.0,3.0,25.0,14.0,24.0,2.0,3.0,25.0,14.0,0
24.0,1.0,1.0,5.0,5.0,32.0,1.0,0.0,21.0,14.0,32.0,1.0,0.0,21.0,14.0,1
24.0,1.0,1.0,5.0,8.0,27.0,2.0,0.0,27.0,13.0,27.0,2.0,0.0,27.0,13.0,0
24.0,1.0,1.0,5.0,8.0,37.0,0.0,0.0,30.0,7.0,37.0,0.0,0.0,30.0,7.0,1
24.0,1.0,1.0,5.0,6.0,15.0,2.0,27.0,9.0,8.0,15.0,2.0,27.0,9.0,8.0,0
24.0,1.0,1.0,5.0,6.0,38.0,1.0,0.0,27.0,11.0,38.0,1.0,0.0,27.0,11.0,1
23.0,1.0,1.0,7.0,1.0,24.0,2.0,0.0,35.0,18.0,24.0,2.0,0.0,35.0,18.0,1
23.0,1.0,1.0,7.0,1.0,29.0,1.0,1.0,27.0,15.0,29.0,1.0,1.0,27.0,15.0,0
23.0,1.0,1.0,7.0,5.0,31.0,3.0,0.0,33.0,19.0,31.0,3.0,0.0,33.0,19.0,0
23.0,1.0,1.0,7.0,5.0,28.0,6.0,1.0,25.0,22.0,28.0,6.0,1.0,25.0,22.0,1
23.0,1.0,1.0,7.0,11.0,29.0,1.0,1.0,25.0,14.0,29.0,1.0,1.0,25.0,14.0,0
23.0,1.0,1.0,7.0,11.0,32.0,1.0,1.0,24.0,10.0,32.0,1.0,1.0,24.0,10.0,1
23.0,1.0,1.0,7.0,3.0,31.0,0.0,1.0,25.0,9.0,31.0,0.0,1.0,25.0,9.0,1
23.0,1.0,1.0,7.0,3.0,28.0,0.0,0.0,25.0,7.0,28.0,0.0,0.0,25.0,7.0,0
23.0,1.0,1.0,7.0,2.0,26.0,0.0,0.0,33.0,8.0,26.0,0.0,0.0,33.0,8.0,1
23.0,1.0,1.0,7.0,2.0,26.0,2.0,0.0,29.0,12.0,26.0,2.0,0.0,29.0,12.0,0
23.0,1.0,1.0,7.0,5.0,42.0,4.0,0.0,29.0,6.0,42.0,4.0,0.0,29.0,6.0,0
23.0,1.0,1.0,7.0,5.0,35.0,4.0,0.0,22.0,9.0,35.0,4.0,0.0,22.0,9.0,1
23.0,1.0,1.0,7.0,3.0,37.0,1.0,0.0,35.0,4.0,37.0,1.0,0.0,35.0,4.0,0
23.0,1.0,1.0,7.0,3.0,27.0,0.0,0.0,29.0,9.0,27.0,0.0,0.0,29.0,9.0,1
23.0,1.0,1.0,7.0,18.0,27.0,5.0,0.0,33.0,9.0,27.0,5.0,0.0,33.0,9.0,1
23.0,1.0,1.0,7.0,18.0,20.0,4.0,0.0,20.0,15.0,20.0,4.0,0.0,20.0,15.0,0
29.0,1.0,1.0,5.0,2.0,28.0,0.0,0.0,29.0,7.0,28.0,0.0,0.0,29.0,7.0,0
29.0,1.0,1.0,5.0,2.0,23.0,2.0,0.0,20.0,12.0,23.0,2.0,0.0,20.0,12.0,1
29.0,1.0,1.0,5.0,3.0,25.0,1.0,0.0,24.0,12.0,25.0,1.0,0.0,24.0,12.0,1
29.0,1.0,1.0,5.0,3.0,24.0,0.0,0.0,32.0,11.0,24.0,0.0,0.0,32.0,11.0,0
29.0,1.0,1.0,5.0,4.0,31.0,1.0,0.0,21.0,8.0,31.0,1.0,0.0,21.0,8.0,1
29.0,1.0,1.0,5.0,4.0,18.0,0.0,0.0,26.0,15.0,18.0,0.0,0.0,26.0,15.0,0
29.0,1.0,1.0,5.0,6.0,19.0,6.0,0.0,12.0,12.0,19.0,6.0,0.0,12.0,12.0,1
29.0,1.0,1.0,5.0,6.0,25.0,1.0,0.0,26.0,6.0,25.0,1.0,0.0,26.0,6.0,0
23.0,1.0,1.0,1.0,2.0,29.0,4.0,0.0,29.0,9.0,29.0,4.0,0.0,29.0,9.0,0
23.0,1.0,1.0,1.0,2.0,34.0,3.0,2.0,27.0,10.0,34.0,3.0,2.0,27.0,10.0,1
23.0,1.0,1.0,1.0,3.0,39.0,15.0,0.0,27.0,10.0,39.0,15.0,0.0,27.0,10.0,1
23.0,1.0,1.0,1.0,3.0,31.0,0.0,1.0,27.0,7.0,31.0,0.0,1.0,27.0,7.0,0
23.0,1.0,1.0,1.0,5.0,30.0,1.0,5.0,22.0,7.0,30.0,1.0,5.0,22.0,7.0,0
23.0,1.0,1.0,1.0,5.0,36.0,0.0,0.0,29.0,14.0,36.0,0.0,0.0,29.0,14.0,1
23.0,1.0,1.0,1.0,6.0,26.0,1.0,0.0,28.0,12.0,26.0,1.0,0.0,28.0,12.0,0
23.0,1.0,1.0,1.0,6.0,30.0,1.0,0.0,27.0,12.0,30.0,1.0,0.0,27.0,12.0,1
26.0,1.0,1.0,3.0,2.0,27.0,1.0,0.0,28.0,15.0,27.0,1.0,0.0,28.0,15.0,1
26.0,1.0,1.0,3.0,2.0,30.0,0.0,0.0,31.0,10.0,30.0,0.0,0.0,31.0,10.0,0
26.0,1.0,1.0,3.0,3.0,30.0,0.0,0.0,20.0,15.0,30.0,0.0,0.0,20.0,15.0,0
26.0,1.0,1.0,3.0,3.0,23.0,0.0,0.0,23.0,11.0,23.0,0.0,0.0,23.0,11.0,1
26.0,1.0,1.0,3.0,6.0,22.0,0.0,0.0,35.0,6.0,22.0,0.0,0.0,35.0,6.0,0
26.0,1.0,1.0,3.0,6.0,29.0,0.0,0.0,29.0,11.0,29.0,0.0,0.0,29.0,11.0,1
26.0,1.0,1.0,3.0,5.0,26.0,0.0,0.0,25.0,9.0,26.0,0.0,0.0,25.0,9.0,0
26.0,1.0,1.0,3.0,5.0,29.0,0.0,0.0,30.0,11.0,29.0,0.0,0.0,30.0,11.0,1
30.0,1.0,1.0,3.0,2.0,34.0,0.0,0.0,22.0,7.0,34.0,0.0,0.0,22.0,7.0,0
30.0,1.0,1.0,3.0,2.0,26.0,2.0,0.0,26.0,9.0,26.0,2.0,0.0,26.0,9.0,1
30.0,1.0,1.0,3.0,3.0,31.0,1.0,0.0,25.0,11.0,31.0,1.0,0.0,25.0,11.0,1
30.0,1.0,1.0,3.0,3.0,24.0,5.0,0.0,29.0,14.0,24.0,5.0,0.0,29.0,14.0,0
30.0,1.0,1.0,3.0,7.0,21.0,0.0,2.0,24.0,10.0,21.0,0.0,2.0,24.0,10.0,1
30.0,1.0,1.0,3.0,7.0,27.0,0.0,0.0,27.0,15.0,27.0,0.0,0.0,27.0,15.0,1
30.0,1.0,1.0,3.0,11.0,30.0,0.0,0.0,27.0,10.0,30.0,0.0,0.0,27.0,10.0,0
30.0,1.0,1.0,3.0,11.0,33.0,0.0,0.0,30.0,12.0,33.0,0.0,0.0,30.0,12.0,1
24.0,1.0,1.0,1.0,2.0,37.0,2.0,0.0,31.0,4.0,37.0,2.0,0.0,31.0,4.0,0
24.0,1.0,1.0,1.0,2.0,28.0,0.0,0.0,20.0,2.0,28.0,0.0,0.0,20.0,2.0,1
24.0,1.0,1.0,1.0,3.0,33.0,2.0,0.0,35.0,8.0,33.0,2.0,0.0,35.0,8.0,0
24.0,1.0,1.0,1.0,3.0,29.0,0.0,0.0,25.0,6.0,29.0,0.0,0.0,25.0,6.0,1
24.0,1.0,1.0,1.0,8.0,29.0,1.0,0.0,29.0,17.0,29.0,1.0,0.0,29.0,17.0,1
24.0,1.0,1.0,1.0,8.0,30.0,0.0,0.0,31.0,21.0,30.0,0.0,0.0,31.0,21.0,0
24.0,1.0,1.0,1.0,7.0,30.0,0.0,0.0,28.0,10.0,30.0,0.0,0.0,28.0,10.0,1
24.0,1.0,1.0,1.0,7.0,32.0,0.0,0.0,33.0,9.0,32.0,0.0,0.0,33.0,9.0,0
28.0,1.0,1.0,7.0,2.0,16.0,0.0,0.0,28.0,24.0,16.0,0.0,0.0,28.0,24.0,1
28.0,1.0,1.0,7.0,2.0,30.0,0.0,0.0,40.0,17.0,30.0,0.0,0.0,40.0,17.0,1
28.0,1.0,1.0,7.0,3.0,26.0,0.0,0.0,28.0,10.0,26.0,0.0,0.0,28.0,10.0,1
28.0,1.0,1.0,7.0,3.0,24.0,0.0,0.0,28.0,13.0,24.0,0.0,0.0,28.0,13.0,0
28.0,1.0,1.0,7.0,12.0,32.0,0.0,0.0,30.0,8.0,32.0,0.0,0.0,30.0,8.0,0
28.0,1.0,1.0,7.0,12.0,23.0,0.0,0.0,26.0,21.0,23.0,0.0,0.0,26.0,21.0,1
28.0,1.0,1.0,7.0,6.0,29.0,0.0,0.0,29.0,7.0,29.0,0.0,0.0,29.0,7.0,0
28.0,1.0,1.0,7.0,6.0,37.0,0.0,0.0,34.0,10.0,37.0,0.0,0.0,34.0,10.0,1
27.0,1.0,1.0,5.0,3.0,29.0,3.0,0.0,30.0,18.0,29.0,3.0,0.0,30.0,18.0,1
27.0,1.0,1.0,5.0,3.0,26.0,4.0,0.0,27.0,17.0,26.0,4.0,0.0,27.0,17.0,0
27.0,1.0,1.0,5.0,5.0,30.0,1.0,0.0,26.0,6.0,30.0,1.0,0.0,26.0,6.0,0
27.0,1.0,1.0,5.0,5.0,23.0,2.0,0.0,25.0,11.0,23.0,2.0,0.0,25.0,11.0,1
27.0,1.0,1.0,5.0,4.0,31.0,0.0,0.0,30.0,12.0,31.0,0.0,0.0,30.0,12.0,0
27.0,1.0,1.0,5.0,4.0,34.0,0.0,0.0,23.0,14.0,34.0,0.0,0.0,23.0,14.0,1
27.0,1.0,1.0,5.0,7.0,27.0,3.0,0.0,27.0,13.0,27.0,3.0,0.0,27.0,13.0,0
27.0,1.0,1.0,5.0,7.0,27.0,0.0,0.0,30.0,12.0,27.0,0.0,0.0,30.0,12.0,1
26.0,1.0,1.0,3.0,3.0,23.0,0.0,0.0,33.0,14.0,23.0,0.0,0.0,33.0,14.0,0
26.0,1.0,1.0,3.0,3.0,20.0,1.0,0.0,34.0,13.0,20.0,1.0,0.0,34.0,13.0,1
26.0,1.0,1.0,3.0,4.0,27.0,1.0,0.0,34.0,7.0,27.0,1.0,0.0,34.0,7.0,1
26.0,1.0,1.0,3.0,4.0,28.0,0.0,0.0,34.0,12.0,28.0,0.0,0.0,34.0,12.0,0
26.0,1.0,1.0,3.0,5.0,26.0,0.0,0.0,34.0,12.0,26.0,0.0,0.0,34.0,12.0,0
26.0,1.0,1.0,3.0,5.0,35.0,0.0,0.0,35.0,13.0,35.0,0.0,0.0,35.0,13.0,1
26.0,1.0,1.0,3.0,4.0,34.0,0.0,0.0,37.0,8.0,34.0,0.0,0.0,37.0,8.0,0
26.0,1.0,1.0,3.0,4.0,28.0,0.0,0.0,31.0,12.0,28.0,0.0,0.0,31.0,12.0,1
27.0,0.0,0.0,5.0,3.0,20.0,4.0,0.0,20.0,16.0,20.0,4.0,0.0,20.0,16.0,1
27.0,0.0,0.0,5.0,3.0,17.0,15.0,0.0,19.0,20.0,17.0,15.0,0.0,19.0,20.0,1
27.0,0.0,0.0,5.0,4.0,33.0,3.0,0.0,34.0,13.0,33.0,3.0,0.0,34.0,13.0,0
27.0,0.0,0.0,5.0,4.0,31.0,6.0,0.0,18.0,18.0,31.0,6.0,0.0,18.0,18.0,1
27.0,0.0,0.0,5.0,6.0,25.0,11.0,0.0,20.0,8.0,25.0,11.0,0.0,20.0,8.0,0
